Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Dainava, Pasimatymo aklg., mūrinis sublokuotas namas",195 000 €,,85 m²,"1,21 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Dainava, Pasimatymo aklg., mūrinis sublokuotas namas",199 900 €,,"87,57 m²","1,56 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Užliedžių k., Pienių g., blokinis namas",279 000 €,,"123,23 m²","9,51 a",4,1,2022,Blokinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Varluvos k., Genio g., mūrinis namas",200 000 €,,"214,3 m²","18,28 a",,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Dainava, Pasimatymo aklg., mūrinis sublokuotas namas",275 000 €,,180 m²,"4,5 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vičiūnai, Kiškių g., mūrinis sublokuotas namas",275 000 €,20B,252 m²,"2,91 a",5,2,2010,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,200,B,
"Kaunas, Vičiūnai, Kiškių g., mūrinis namas",535 000 €,,490 m²,"10,73 a",5,3,2019,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,DujosAsfaltuotas privažiavimas,GaražasBaseinasPirtisTerasa,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Panemunė, Kiškių g., mūrinis namas",535 000 €,,490 m²,"10,73 a",5,3,2019,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,DujosAsfaltuotas privažiavimas,GaražasBaseinasPirtisTerasa,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Pamaišupio k., Pušų g., mūrinis namas",350 000 €,9,"214,35 m²",11 a,5,2,"2013 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūbinėTerasa,Su baldaisŠildomos grindys,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, mūrinis sublokuotas namas",199 000 €,,"88,5 m²",4 a,4,1,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Papiškių k., Kanavos g., mūrinė sodyba",75 000 €,27,30 m²,"36,81 a",,1,1947,Mūrinis,Sodyba,"Elektra, kietu kuru",,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Šilainiai, Vėjo g., mūrinis namas",329 000 €,,"246,06 m²","8,5 a",6,2,"1999 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujosInternetasKabelinė televizija,GaražasRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, M. ir P. Šalčių g., mūrinis sublokuotas namas",199 000 €,12,"95,5 m²",1 a,4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,1 000,A++,
"Kaunas, Rokai, M. Krupavičiaus g., mūrinis sublokuotas namas",110 000 €,,81 m²,4 a,,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Panevėžiuko k., Žvejų g., karkasinis namas",185 000 €,,"91,79 m²",25 a,4,1,2021,Karkasinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Aleksotas, Akacijų g., mūrinis sublokuotas namas",199 500 €,,124 m²,"2,1 a",4,2,2015,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujos,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Adolfo Šapokos g., mūrinis sublokuotas namas",214 999 €,,98 m²,"3,5 a",4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasInternetasKabelinė televizija,GaražasTerasa,KondicionieriusŠildomos grindys,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Drąseikių k., Pakrantės g., medinis sodo namas",27 700 €,20,"17,45 m²","8,37 a",,1,1989,Medinis,Sodo namas,Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Vijūkų k., Parko g., mūrinis sublokuotas namas",195 000 €,13,76 m²,3 a,,2,2016,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Giraitės k., Pušų g., mūrinis sublokuotas namas",215 000 €,,"110,47 m²","1,99 a",4,2,2015,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,DujosInternetasAsfaltuotas privažiavimas,GaražasTerasa,KondicionieriusSkalbimo mašinaSu baldais,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kaunas, Žaliakalnis, M. Jankaus g., mūrinis sublokuotas namas",670 000 €,,156 m²,"2,75 a",5,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,ElektraDujosInternetasAsfaltuotas privažiavimas,Terasa,KondicionieriusSkalbimo mašinaSu baldais,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Bivylių g., mūrinis sublokuotas namas",245 000 €,,193 m²,6 a,,2,"2009 statyba, 2023 renovacija",Mūrinis,Sublokuotas namas,"Kietu kuru, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Kuro k., Uogų g., rąstinė sodyba",67 000 €,,47 m²,200 a,,1,1965,Rąstinis,Sodyba,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Naujasodžio k., Vytauto g., karkasinis namas",215 000 €,109,"116,33 m²","6,83 a",4,2,2023,Karkasinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Rūbinė,Šildomos grindys,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Narsiečių k., Juozo Vyšniausko g., mūrinis namas",350 000 €,,"190,13 m²",7 a,4,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,ElektraInternetasKabelinė televizija,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiRekuperacinė sistema,Signalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aukštieji Šančiai, L. Ivinskio g., rąstinis namas",130 000 €,,93 m²,"6,58 a",5,1,2012,Rąstinis,Namas (gyvenamasis),Dujinis,"Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisViryklė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,1 000,,
"Kauno r. sav., Domeikavos k., Rugio g., mūrinis sublokuotas namas",149 999 €,,55 m²,"3,52 a",2,1,2021,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasElektraDujos,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
"Kauno r. sav., Vilkijos m., Putinų g., mūrinis namas",120 000 €,2,178 m²,"10,19 a",5,2,"1977 statyba, 2007 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysŪkiniai pastatai,Su baldaisŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,500,,
"Kaunas, Palemonas, Ugniakuro g., mūrinis sublokuotas namas",110 000 €,,"122,32 m²",3 a,,2,2024,Mūrinis,Sublokuotas namas,"Aeroterminis, dujinis, kita",,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, Pakaunės g., mūrinis sublokuotas namas",160 000 €,23B,75 m²,"1,17 a",4,2,2016,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Poderiškių k., Šviesos g., Namas (gyvenamasis)",169 999 €,11,80 m²,10 a,,1,2023,Kita,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ramučių k., Liepų g., mūrinis namas",282 000 €,21,303 m²,15 a,,2,"1997 statyba, 2010 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Kulautuvos mstl., Žemaitės g., rąstinis namas",97 000 €,,117 m²,"7,9 a",6,2,1935,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,ElektraDujosAsfaltuotas privažiavimas,,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, E. Volterio g., mūrinis sublokuotas namas",168 000 €,,104 m²,"3,9 a",4,2,2023,Mūrinis,Sublokuotas namas,Geoterminis,,Dalinė apdaila,Elektra,Terasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ražiškių k., Medelyno g., mūrinis namas",200 000 €,2,118 m²,4 a,,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Akuotų k., Saulėtekių g., rąstinis namas",55 000 €,,106 m²,35 a,,2,"1947 statyba, 2022 renovacija",Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,Ūkiniai pastatai,,Vaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Beržų g., mūrinis sublokuotas namas",218 000 €,,"136,62 m²","2,07 a",,2,2011,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vilijampolė, Panerių g., mūrinis namas",208 000 €,,"190,05 m²",6 a,5,2,"1961 statyba, 2014 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vytėnai, Užnerio g., mūrinis namas",349 000 €,12,344 m²,"18,78 a",,2,1999,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimas,Garažas,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Ryto tak., mūrinis sublokuotas namas",249 000 €,,100 m²,3 a,4,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
"Kauno r. sav., Karmėlavos mstl., Smėlio g., mūrinis namas",299 900 €,,"105,17 m²","6,11 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,15,A+,
"Kaunas, Vytėnai, Nartavos g., mūrinis namas",410 000 €,,"248,87 m²","6,21 a",5,2,2012,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinė,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Freda, Kalkinės g., karkasinis namas",75 000 €,12,69 m²,"9,68 a",,1,1939,Karkasinis,Namas (gyvenamasis),"Centrinis, elektra",,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Garliavos m., J. Lukšos g., mūrinis namas",147 000 €,,"132,72 m²","8,28 a",5,2,1966,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,ElektraAsfaltuotas privažiavimas,,Skalbimo mašinaSu baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vilijampolė, Dangės g., mūrinis namas",435 000 €,,"345,97 m²",43 a,5,2,1990,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Šermukšnių g., mūrinis sublokuotas namas",173 900 €,,"69,6 m²","1,5 a",3,2,2014,Mūrinis,Sublokuotas namas,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Neveronių k., Krašto g., mūrinis namas",189 000 €,,"129,5 m²",6 a,,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Pabiržio k., Avilių g., mūrinis namas",159 000 €,,130 m²,"5,5 a",,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vaišvydava, Armališkių g., mūrinis kita",100 000 €,5P,180 m²,"24,08 a",4,1,1992,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Kita,Šulinys,Neįrengtas,Elektra,GaražasRūsysTerasa,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Žemieji Šančiai, Vokiečių g., mūrinis namas",280 000 €,,"248,12 m²","5,01 a",8,3,1994,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūbinėRūsysŪkiniai pastatai,ŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,350,,
"Kauno r. sav., Girininkų II k., Pavasario g., mūrinis namas",310 000 €,2,155 m²,"8,49 a",5,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektra,Terasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Noreikiškių k., Lazdynų g., mūrinis sublokuotas namas",167 700 €,8,86 m²,"3,6 a",4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Greta miškoElektraInternetas,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Vandžiogalos mstl., Mėklos g., karkasinis namas",15 900 €,5,70 m²,18 a,,1,1911,Karkasinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Gėlių g., mūrinis sublokuotas namas",154 900 €,,"101,63 m²","3,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujos,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Vaišvydava, Tursono g., mūrinis namas",195 000 €,,"204,84 m²",5 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraDujos,Garažas,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Dievogalos k., Andriaus Gustaičio g., rąstinis namas",84 400 €,71,"79,37 m²",72 a,,2,1945,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vaišvydava, Dubravų g., mūrinis namas",215 000 €,60,499 m²,15 a,,3,1981,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Užliedžių k., Pienių g., mūrinis sublokuotas namas",160 000 €,,"86,1 m²",2 a,,2,2013,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Varluvos k., Genio g., rąstinis namas",63 000 €,7,245 m²,"14,42 a",,2,2015,Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru, kita",,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vilijampolė, Švyturio g., mūrinio namo dalis",117 900 €,9,90 m²,"2,55 a",2,2,1962,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Rūsys,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
